System
Level,Log,Time,User,Event
Info,System,2025/10/11 09:36:34,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/10 09:36:34,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/09 09:36:34,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/08 16:00:35,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/08 15:51:36,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/08 15:48:36,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/08 15:45:35,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/08 15:39:49,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/08 09:36:34,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/08 09:27:36,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/08 09:15:38,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/08 09:12:37,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/08 09:02:06,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/08 09:02:04,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/07 09:36:34,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/06 09:36:35,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/05 13:18:35,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/05 13:09:35,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/05 13:03:36,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/05 13:00:36,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/05 12:57:35,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/05 12:52:56,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/05 12:52:54,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/05 09:36:34,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/04 09:36:34,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/03 09:36:34,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/02 20:51:57,SYSTEM,System successfully started [SupportService].
Info,System,2025/10/02 20:51:44,SYSTEM,System successfully stopped [SupportService].
Info,System,2025/10/02 09:36:34,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/02 09:31:30,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/01 20:15:36,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/01 20:12:36,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/01 20:09:35,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/01 20:00:45,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/01 19:57:44,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/01 19:48:34,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/01 09:36:34,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
